file_path,L_M_avg_HH_dist,L_M_avg_OO_dist,L_M_avg_OH_dist,L_M_avg_HO_dist,L_M_count_HH,L_M_count_OO,L_M_count_OH,L_M_count_HO,L_M_sum_of_count,M_U_avg_HH_dist,M_U_avg_OO_dist,M_U_avg_OH_dist,M_U_avg_HO_dist,M_U_count_HH,M_U_count_OO,M_U_count_OH,M_U_count_HO,M_U_sum_of_count
d:\New folder\project\results\3_layer\lower\r80\t2.4\t2.4_220_grid0.cif,2.3429036225419018,2.8040459239904694,1.9065390863405423,2.089125340454433,7,7,8,13,35,2.442473731918218,2.9397651340220303,2.422576842032603,2.2914359624963474,3,6,6,8,23
d:\New folder\project\results\3_layer\lower\r80\t2.4\t2.4_220_grid2.cif,2.1820259670285655,2.916894634599628,2.028311569205134,2.2667141800203012,7,4,2,13,26,2.293468459034937,2.4962949028618944,2.082315522704701,2.1978979560082434,4,6,6,8,24
d:\New folder\project\results\3_layer\lower\r80\t2.4\t2.4_220_grid3.cif,2.283672558329365,2.9395757954539357,1.7915585372792013,2.229448796538283,12,7,9,10,38,2.4031071459035007,2.9661467915872066,2.2804090830523327,2.370884266106108,1,7,7,11,26
d:\New folder\project\results\3_layer\lower\r80\t2.4\t2.4_220_grid5.cif,2.3146031583822597,2.943263506099617,1.891232726279213,2.319529176453295,9,8,8,10,35,2.2784872394235705,2.959065497118019,2.33249757043347,2.3198369593476786,2,6,6,12,26
d:\New folder\project\results\3_layer\lower\r80\t2.4\t2.4_280_grid0.cif,2.363699457353621,3.068750355405669,2.3033508856342593,2.793610412180514,6,2,4,2,14,1.7718275709780194,2.8875168540880476,2.030803729583451,2.567410762702386,2,2,2,2,8
d:\New folder\project\results\3_layer\lower\r80\t2.4\t2.4_280_grid3.cif,2.3540351630798075,2.9798859029123363,2.1735865436395208,2.4770592881718088,11,4,14,6,35,2.402240148735401,2.9722139256673223,2.3142226168818882,2.543048223048892,4,6,6,8,24
d:\New folder\project\results\3_layer\lower\r80\t2.4\t2.4_320_grid2.cif,2.221944420578175,2.9491439909025665,2.050898532036177,2.2607706938762933,6,6,4,13,29,2.255553045388936,2.4962949028618944,2.3793632780464606,2.2770852276325515,6,6,4,14,30
d:\New folder\project\results\3_layer\lower\r80\t2.4\t2.4_320_grid3.cif,2.3430332019703997,2.8122414350257534,2.046708042695824,2.217320103178104,16,9,6,18,49,2.3483211508860293,2.9539533797257818,2.266572722071608,2.343648270388019,6,6,7,11,30
d:\New folder\project\results\3_layer\lower\r80\t2.4\t2.4_340_grid2.cif,2.1820259670285655,2.916894634599628,2.028311569205134,2.2667141800203012,7,4,2,13,26,2.293468459034937,2.4962949028618944,2.082315522704701,2.1978979560082434,4,6,6,8,24
d:\New folder\project\results\3_layer\lower\r80\t2.4\t2.4_340_grid3.cif,2.32969707946611,2.8122414350257525,2.4394814452918454,2.23602607659526,8,9,6,19,42,2.4031071459035007,2.945992455776595,2.417477512075687,2.4521953657874462,1,6,7,8,22
d:\New folder\project\results\3_layer\lower\r80\t3.6\t3.6_80_grid0.cif,2.2649167620956616,3.0,2.129067476798237,3.0,6,0,14,0,20,2.435498312932667,2.986732238530353,2.6730177644819344,1.8339830024746417,1,3,4,4,12
d:\New folder\project\results\3_layer\lower\r80\t3.6\t3.6_80_grid1.cif,2.1691215726438435,2.762405507425255,2.131911802117602,2.153888577335554,14,11,14,24,63,2.1048046286531292,2.875174898063802,2.1086034176496984,2.7532215981620625,2,2,2,3,9
d:\New folder\project\results\3_layer\lower\r80\t3.6\t3.6_80_grid2.cif,2.1878735226456794,2.873425705104542,1.9603602044160755,1.9608366256619438,11,10,12,21,54,2.162046776581551,3.1331460306275787,2.41772744357785,2.768747461234698,2,2,2,3,9
d:\New folder\project\results\3_layer\lower\r80\t3.6\t3.6_220_grid1.cif,2.311571571578966,2.845058923309421,1.9270884542018816,1.8587742020150224,4,9,10,10,33,2.3379811317949244,2.8557129066090923,2.1821926207488653,2.2443015451270876,4,5,5,9,23
d:\New folder\project\results\3_layer\lower\r80\t3.6\t3.6_280_grid0.cif,2.2882925364646898,3.0,2.2570383164112444,3.0,4,0,10,0,14,1.7809929867773764,2.986732238530353,2.671277285240871,1.8871747464429443,1,3,2,5,11
d:\New folder\project\results\3_layer\lower\r80\t3.6\t3.6_340_grid2.cif,2.1911943033445196,2.850668852218083,2.1648783449661044,2.2073997295806937,5,7,8,10,30,2.330554581842932,2.4923802361867065,2.418177925043716,2.434326500680454,6,3,6,8,23
d:\New folder\project\results\3_layer\lower\r200\t0\t0_80_grid2.cif,2.3757348252309565,2.6033446141765135,2.2716911972505445,2.1800172970066622,6,6,5,12,29,2.445282905810861,2.6223384502455893,2.1702177722696265,2.200834959221391,6,6,8,6,26
d:\New folder\project\results\3_layer\lower\r200\t0\t0_220_grid1.cif,2.361024201083354,2.5303632971527277,2.4194301631139417,2.3885018497560004,10,9,14,14,47,2.2876252702140705,2.739052498705574,2.543116445263406,2.1641569332450126,6,2,4,2,14
d:\New folder\project\results\3_layer\lower\r200\t0\t0_280_grid2.cif,2.352590718474484,2.6033446141765135,2.1538978505572492,2.165943483876771,4,6,6,8,24,2.445282905810861,2.8295944420448116,2.038867862335881,2.2431619145964383,6,6,6,8,26
d:\New folder\project\results\3_layer\lower\r200\t0\t0_320_grid1.cif,2.306470265675806,2.6725003053005953,2.19949416293212,2.434671628068616,15,11,16,12,54,2.2876252702140705,2.739052498705574,2.543116445263406,2.1641569332450126,6,2,4,2,14
d:\New folder\project\results\3_layer\lower\r200\t0\t0_340_grid1.cif,2.3454014392027025,2.5908358635856428,2.395028159576032,2.395070798991254,14,9,12,13,48,2.2876252702140705,2.739052498705574,2.543116445263406,2.1641569332450126,6,2,4,2,14
d:\New folder\project\results\3_layer\lower\r200\t3.6\t3.6_340_grid0.cif,3.0,2.9090818889456855,1.9143829590749177,2.541862114490161,0,8,8,11,27,2.1715886591498355,2.8740060137163046,3.0,1.6709482381384642,6,3,0,4,13
d:\New folder\project\results\3_layer\lower\r200\t4.8\t4.8_220_grid1.cif,2.3575864116226675,2.4390653062771728,2.449802215596617,2.1324374961894743,4,4,5,11,24,2.1795908439094362,2.7671796707786553,2.2005967790764105,2.3564338563459537,1,7,8,10,26
d:\New folder\project\results\3_layer\lower\r200\t4.8\t4.8_340_grid1.cif,2.241804082833456,2.582669656700356,2.242849483881307,2.2802660345354706,12,12,11,16,51,2.155213789563935,2.8737952805081477,3.0,1.799443435617152,5,3,0,6,14
d:\New folder\project\results\3_layer\lower\r200\t4.8\t4.8_340_grid3.cif,2.333322536029045,2.5899444977846136,2.3947615491721437,2.42325959352262,13,10,12,16,51,2.319182545076715,2.8480466604967187,2.336227975143279,2.6079003425436995,4,2,4,4,14
d:\New folder\project\results\3_layer\lower\r200\t8.4\t8.4_320_grid2.cif,2.3951088187449883,2.906834173348631,2.298210608903206,2.3827218099037095,8,12,16,14,50,2.246156459208665,2.7482829261946997,2.6509433059486307,2.169231201687981,4,2,4,2,12
d:\New folder\project\results\3_layer\lower\r200\t9.6\t9.6_80_grid1.cif,2.3335410518750628,2.535741908163076,2.346749193660331,2.395361802669623,7,4,6,6,23,2.3452305937089077,2.6186559179471587,2.2945497453670223,2.2514321093058243,4,6,4,12,26
d:\New folder\project\results\3_layer\lower\r200\t9.6\t9.6_220_grid2.cif,2.339883606358429,2.7240443329368516,1.9808115144902625,2.1635248001763507,8,10,14,8,40,2.148128421075988,2.7515461458339603,2.0473450562073054,2.0757749740144367,6,2,12,6,26
d:\New folder\project\results\3_layer\lower\r200\t9.6\t9.6_280_grid2.cif,2.350759409904062,2.892324667425048,2.1367622382331843,2.186172362226639,10,2,12,4,28,2.2488056588666945,2.8756541317862316,2.040053773030067,2.642127115056846,10,4,12,2,28
d:\New folder\project\results\3_layer\lower\r200\t9.6\t9.6_320_grid1.cif,2.398228241204557,2.903902876121151,2.13496233537664,2.422742155554572,2,6,4,8,20,2.3159401255124603,2.8832795264528115,2.3632104282405715,2.110152624246065,4,5,6,8,23
d:\New folder\project\results\3_layer\lower\r200\t9.6\t9.6_320_grid4.cif,2.3033625017388117,2.707241802694402,2.2922742596289103,2.2949658627061345,9,13,13,19,54,2.4125836685586552,2.8349750049904836,2.449395700610724,2.4302307380433366,4,2,2,4,12
d:\New folder\project\results\3_layer\lower\r200\t9.6\t9.6_340_grid1.cif,2.401726890602732,2.904225609903204,2.3387223286614347,2.6750873711277423,5,6,10,4,25,2.331381087315911,2.9703092032389646,2.3753533841130583,2.096168044279221,4,9,6,12,31
d:\New folder\project\results\3_layer\lower\r200\t9.6\t9.6_340_grid4.cif,2.2582049995813125,2.7072418026944,2.3204361337935437,2.319625703879505,14,13,13,17,57,2.3928412719644645,2.8349750049904836,2.449395700610724,2.4302307380433366,6,2,2,4,14
d:\New folder\project\results\3_layer\lower\r220\t0\t0_220_grid3.cif,2.1879012678313603,2.916387493667596,2.0864017755619155,2.0212081119038574,6,6,2,10,24,2.372042164496571,2.6100341897625827,2.3630189019228016,2.2827687864426562,7,9,15,14,45
d:\New folder\project\results\3_layer\lower\r220\t7.2\t7.2_220_grid2.cif,2.3072393257267363,2.5495523485292204,2.413794433191415,2.1547252700971766,7,9,13,20,49,2.3596614375988816,2.9772503661562966,2.6022231815882284,2.4608592326929055,6,4,4,4,18
d:\New folder\project\results\3_layer\lower\r220\t7.2\t7.2_280_grid3.cif,2.3246916450393917,2.6891316248580175,2.2674713768859514,2.17896080505133,6,6,8,7,27,2.4376889470308862,2.6211872215677303,2.2165212870276116,2.012886232046538,9,5,8,7,29
d:\New folder\project\results\3_layer\lower\r220\t7.2\t7.2_320_grid1.cif,2.4183861523100725,2.8846684045322037,2.488410930410078,2.2318067586106225,5,8,6,12,31,2.3004774766428495,2.9758617798737586,2.2191088081878103,2.2756262195071164,5,9,10,4,28
d:\New folder\project\results\3_layer\lower\r220\t8.4\t8.4_80_grid0.cif,2.146271156238516,2.9497859941786593,2.2652082895598804,2.0615284772715636,7,12,8,22,49,3.0,3.007728129134537,2.1125211519219533,2.281897773895939,0,2,2,2,6
d:\New folder\project\results\3_layer\lower\r220\t8.4\t8.4_320_grid1.cif,2.420964930009455,2.9700395225870984,2.467343182507571,2.3054158674085112,5,9,7,11,32,1.9110551222596506,2.9762805081005816,2.2882480644017966,2.2273692338833766,4,10,10,6,30
d:\New folder\project\results\3_layer\lower\r260\t4.8\t4.8_220_grid3.cif,2.398618948418365,2.583752861575264,2.2120476832978797,2.100034340928344,5,10,8,23,46,2.381760910242526,2.921554333458811,2.6387240016603712,2.0774096663337955,1,3,8,7,19
d:\New folder\project\results\3_layer\lower\r260\t4.8\t4.8_220_grid4.cif,2.3900907185686364,2.795716004577468,1.7192771380102352,1.9028658962960692,2,6,6,11,25,2.355119498960789,2.492684970623809,2.2421849978428194,2.2139784567490977,6,6,6,12,30
d:\New folder\project\results\3_layer\lower\r260\t4.8\t4.8_280_grid2.cif,2.1962790517545216,3.0327042949649963,2.4498972217508173,2.304907945616672,3,5,3,5,16,2.381760910242526,3.0,2.4688384519027418,3.0,1,0,8,0,9
d:\New folder\project\results\3_layer\lower\r260\t4.8\t4.8_340_grid0.cif,2.386765018342546,3.041723053331372,2.4597012569669303,2.100388506820483,4,4,8,2,18,2.381760910242526,2.894869817912899,2.610757563665665,1.877106465177774,1,5,4,8,18
d:\New folder\project\results\3_layer\lower\r260\t6.0\t6.0_80_grid2.cif,2.304034560555362,3.0363516498459897,2.46953030083552,2.074883610488916,5,4,7,1,17,2.164941236071001,2.8939163251020186,2.1892219919819866,1.7460543068174552,6,4,8,6,24
d:\New folder\project\results\3_layer\lower\r260\t7.2\t7.2_80_grid2.cif,2.4394176984322775,3.0607576215749903,2.5868119192970975,2.679746913172891,4,4,8,2,18,2.4310340324514934,2.9292712427237095,1.6825210645395972,1.7944102643874054,4,4,4,4,16
d:\New folder\project\results\3_layer\lower\r260\t7.2\t7.2_220_grid2.cif,2.425185254709341,2.98182258228101,2.2373330042766053,2.0384855915954807,6,7,13,2,28,2.380488467965274,2.8172930699455856,2.45359567562955,2.222458257810003,6,4,8,5,23
d:\New folder\project\results\3_layer\lower\r280\t4.8\t4.8_320_grid3.cif,2.1195707800223493,2.894318263814383,2.0991037292780117,1.9885354885367945,6,2,2,14,24,2.262207607858479,2.4899452805759297,2.16023414769289,2.197642883866941,7,6,6,10,29
d:\New folder\project\results\3_layer\lower\r280\t7.2\t7.2_80_grid0.cif,2.2614371717641384,3.003044593235629,1.9806234530434674,2.308530694528004,10,7,6,8,31,2.181767320726768,2.928164830854641,2.073962959691315,2.1839746872456383,6,6,8,8,28
d:\New folder\project\results\3_layer\lower\r280\t7.2\t7.2_220_grid2.cif,2.3843200281626,3.044592988141935,2.348229636868825,2.0891295105735024,6,4,13,4,27,2.4732011485208,2.9258809809185884,2.415399763590061,2.1157220365918903,6,6,6,6,24
d:\New folder\project\results\3_layer\lower\r300\t0\t0_80_grid2.cif,2.4546489144070485,2.4385342257928855,2.3283645059895197,2.2611651933062276,2,4,8,6,20,2.385555788525701,2.686391559391926,2.3452148714222343,2.341094362753497,7,7,8,6,28
d:\New folder\project\results\3_layer\lower\r320\t4.8\t4.8_80_grid2.cif,2.3421559788376123,2.413879923676987,2.2437934429749444,2.267334541130378,6,9,16,13,44,2.4201948759957337,3.0,2.4204317182130533,2.5757694737087857,2,0,1,4,7
d:\New folder\project\results\3_layer\lower\r320\t4.8\t4.8_220_grid3.cif,2.315096976943395,2.4384380944261914,2.3367718098582495,2.3506706160983626,4,4,8,4,20,2.335321913056107,2.4854537721944836,2.414329299455786,2.3563487993591936,6,6,5,10,27
d:\New folder\project\results\3_layer\lower\r320\t4.8\t4.8_320_grid0.cif,2.288291387765381,2.9169765467536832,2.0457373273531565,2.3711021227646465,13,5,9,8,35,2.383281134705397,2.8881633246706984,2.2699457915099415,2.2939172813627255,7,5,10,9,31
d:\New folder\project\results\3_layer\lower\r320\t6.0\t6.0_80_grid0.cif,2.414423544326651,2.970430586302708,2.3159617512462125,2.169635756722715,10,5,14,14,43,2.1190647105570086,2.987570815629356,3.0,2.0491845607671704,7,3,0,13,23
d:\New folder\project\results\3_layer\lower\r320\t6.0\t6.0_220_grid0.cif,2.350345650928137,2.746097664474405,2.0616452913399783,2.31551098479956,8,7,8,16,39,2.404685295469912,2.987570815629356,2.6718084209601587,2.0560584137212063,2,3,4,12,21
d:\New folder\project\results\3_layer\lower\r320\t6.0\t6.0_220_grid2.cif,2.315807375138411,2.265700463326878,2.369187089624287,2.344776265877445,4,4,7,4,19,2.344246762309768,2.482608114875082,2.4654824898622567,2.382646184644198,6,6,6,10,28
d:\New folder\project\results\3_layer\lower\r320\t6.0\t6.0_320_grid0.cif,2.3954610769148754,2.6805416133249906,2.1538006623403825,2.1369249443135185,12,8,7,18,45,1.9344605790918665,2.994920535713282,2.0379964079080843,2.125683213430259,4,1,1,8,14
d:\New folder\project\results\3_layer\lower\r320\t6.0\t6.0_340_grid0.cif,2.329744694602237,2.6480089450188578,2.2178901054788476,2.287530566926536,8,9,9,20,46,1.9867335113034923,2.987570815629356,3.0,2.1034431663849804,3,3,0,11,17
