file_path,avg_HH_dist,avg_OO_dist,avg_OH_dist,avg_HO_dist,count_HH,count_OO,count_OH,count_HO,sum_of_count
d:\New folder\project\data\r20\t1.2\t1.2_120.cif,2.3309182206762795,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r20\t1.2\t1.2_140.cif,2.3328797739274503,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r20\t1.2\t1.2_160.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r20\t1.2\t1.2_180.cif,3.0,3.0,2.82874771768337,3.0,0,0,1,0,1
d:\New folder\project\data\r20\t1.2\t1.2_20.cif,2.3128334228067846,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r20\t1.2\t1.2_200.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r20\t1.2\t1.2_220.cif,3.0,3.0,2.684526071556262,3.0,0,0,2,0,2
d:\New folder\project\data\r20\t1.2\t1.2_240.cif,3.0,3.0,2.4103721351342413,3.0,0,0,2,0,2
d:\New folder\project\data\r20\t1.2\t1.2_260.cif,2.360523362463604,3.009736452996356,2.3595018417291462,2.2754307910646037,2,2,2,2,8
d:\New folder\project\data\r20\t1.2\t1.2_280.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r20\t1.2\t1.2_300.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r20\t1.2\t1.2_320.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r20\t1.2\t1.2_340.cif,2.3213154239800105,3.0,3.0,2.7036710263208548,2,0,0,2,4
d:\New folder\project\data\r20\t1.2\t1.2_40.cif,2.422126367954555,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r20\t1.2\t1.2_60.cif,2.3256934216370264,3.0,3.0,2.7574041121403026,2,0,0,2,4
d:\New folder\project\data\r20\t1.2\t1.2_80.cif,3.0,3.0,2.6071248460434457,3.0,0,0,2,0,2
d:\New folder\project\data\r20\t2.4\t2.4_0.cif,2.4301158924448485,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r20\t2.4\t2.4_100.cif,3.0,3.0,2.4807229186962054,3.0,0,0,2,0,2
d:\New folder\project\data\r20\t2.4\t2.4_120.cif,2.4952693902895398,3.0,2.696231184758436,3.0,2,0,2,0,4
d:\New folder\project\data\r20\t2.4\t2.4_140.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r20\t2.4\t2.4_160.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r20\t2.4\t2.4_180.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r20\t2.4\t2.4_20.cif,2.412563816925071,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r20\t2.4\t2.4_200.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r20\t2.4\t2.4_220.cif,3.0,3.0,2.5079288652888585,3.0,0,0,2,0,2
d:\New folder\project\data\r20\t2.4\t2.4_240.cif,2.413334960278919,3.0,3.0,2.4788302393273605,2,0,0,4,6
d:\New folder\project\data\r20\t2.4\t2.4_260.cif,2.2878018419024135,3.0192779230767437,2.532701010371866,2.261647064747312,2,2,4,2,10
d:\New folder\project\data\r20\t2.4\t2.4_280.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r20\t2.4\t2.4_300.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
