file_path,Int1_avg_HH_dist,Int1_avg_OO_dist,Int1_avg_OH_dist,Int1_avg_HO_dist,Int1_count_HH,Int1_count_OO,Int1_count_OH,Int1_count_HO,Int1_sum_of_count,Int2_avg_HH_dist,Int2_avg_OO_dist,Int2_avg_OH_dist,Int2_avg_HO_dist,Int2_count_HH,Int2_count_OO,Int2_count_OH,Int2_count_HO,Int2_sum_of_count,Int3_avg_HH_dist,Int3_avg_OO_dist,Int3_avg_OH_dist,Int3_avg_HO_dist,Int3_count_HH,Int3_count_OO,Int3_count_OH,Int3_count_HO,Int3_sum_of_count
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_100_grid0.cif,2.1914129696882854,2.887516854088049,2.082007395224128,2.6207781448625265,4,2,2,4,12,2.2816556029104587,2.5742553242105446,2.1656209761914167,2.2631777178352697,13,9,13,17,52,2.0833073192048444,2.6725609361140177,3.0,2.5575535599111863,2,2,0,2,6
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_100_grid1.cif,2.299038159483833,3.0882681228352347,2.219281574092989,3.0,6,2,10,0,18,2.430207346832349,2.9836067067020897,2.613938397766928,2.0581875326550887,2,4,3,6,15,1.7718275709780298,2.991071496405597,3.0,2.0857385236076773,2,3,0,5,10
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_100_grid4.cif,2.2909337802936838,2.782814742392489,1.8308761974705317,2.079832683716668,4,6,13,2,25,2.452714440924032,2.9495758879238214,2.4099501195411226,2.1149090726070714,2,6,6,6,20,2.353868881791508,2.7344452900145186,2.2325308649224334,1.9170094174243615,4,4,6,16,30
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_100_grid5.cif,2.246817222794677,2.782814742392489,1.956416644106402,2.218276966084034,3,6,13,3,25,2.452714440924032,2.9836067067020897,2.317285027442718,2.6225629231971577,2,4,8,2,16,2.35531716695564,2.8488313414691078,1.9371210021211005,2.260899460818548,8,10,8,16,42
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_200_grid0.cif,2.246817222794677,2.6934272687372847,1.9589247982173887,2.0753791400039936,3,4,14,7,28,2.430207346832349,2.9836067067020897,2.613938397766928,2.0581875326550887,2,4,3,6,15,2.4367294700777,2.6989577553474677,2.2463910252934616,2.048754799026543,8,10,10,18,46
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_200_grid4.cif,2.1026817918448386,2.971381010365718,2.0568178970643713,2.2477521881829103,4,8,6,14,32,2.1954502735917094,2.451430709893626,2.306364785140687,2.3384245122868745,8,4,9,5,26,2.1711502676726635,2.4906202050513566,2.4618792300072316,2.325903182633758,6,6,8,12,32
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_200_grid5.cif,2.2256396537885514,2.7160390271121457,2.046957492880189,2.2569736720472156,6,6,4,14,30,2.2907434810926257,2.4906202050513637,2.2505590597862546,2.394556109498749,6,6,6,7,25,2.367574775016566,2.7467291474134505,2.0581591611709507,2.2148516875074673,9,6,4,16,35
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_220_grid0.cif,2.22599972456293,2.9499542038383075,2.192819715132998,2.2962592679658465,9,6,9,17,41,2.4575079371443,2.9606121055435133,2.5200232379245744,2.1513347976418857,4,6,4,14,28,2.3725995906122637,2.6520593825141745,1.908237266058181,2.2368959026957325,6,9,14,6,35
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_220_grid4.cif,2.2043000111804587,2.679528387895879,2.0979465860520428,2.130891732386942,10,14,18,12,54,2.262542385320467,2.887516854088049,2.082007395224128,2.6207781448625265,2,2,2,4,10,2.0833073192048444,2.6725609361140177,3.0,2.5575535599111863,2,2,0,2,6
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_220_grid5.cif,2.2183554937575467,2.709421814423133,2.110624681095179,2.239232953992697,10,9,7,24,50,2.4508813622541643,2.9836067067020897,2.613938397766928,2.071364059928693,4,4,3,10,21,2.3725995906122637,2.6520593825141745,1.908237266058181,2.2368959026957325,6,9,14,6,35
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_260_grid0.cif,2.2841377321732237,3.057245985527759,2.0417071480829696,2.6938712909427855,10,4,14,3,31,2.262542385320467,2.887516854088049,2.082007395224128,2.6207781448625265,2,2,2,4,10,2.4253882762958665,2.8076454394693497,2.268056513042985,2.1793701139938024,6,8,13,13,40
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_260_grid1.cif,2.2994785194944063,3.0,2.142285569288137,2.545550085509667,4,0,11,2,17,2.430207346832349,2.9836067067020897,2.613938397766928,2.0581875326550887,2,4,3,6,15,1.9975527288874524,2.991071496405597,2.359788103361541,2.0857385236076773,3,3,2,5,13
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_260_grid4.cif,2.3894336423656832,2.8661242734073973,1.994354795480187,2.0212785374361735,4,11,11,23,49,2.262542385320467,2.887516854088049,2.082007395224128,2.6207781448625265,2,2,2,4,10,2.0833073192048444,2.6725609361140177,3.0,2.5575535599111863,2,2,0,2,6
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_260_grid5.cif,2.174697213682363,2.943263506099613,1.966202168124733,2.283610361445498,10,8,14,12,44,2.450881362254159,2.984855767375077,2.3992436812604296,2.204541181115521,4,6,5,8,23,2.0833073192048444,2.6725609361140177,3.0,2.5575535599111863,2,2,0,2,6
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_280_grid0.cif,2.2283162785418593,2.9873538887210485,2.176422037749653,2.643913029846885,8,2,11,1,22,2.262542385320467,2.887516854088049,2.082007395224128,2.6207781448625265,2,2,2,4,10,2.4253882762958665,2.8076454394693497,2.268056513042985,2.1793701139938024,6,8,13,13,40
