file_path,Int1_avg_HH_dist,Int1_avg_OO_dist,Int1_avg_OH_dist,Int1_avg_HO_dist,Int1_count_HH,Int1_count_OO,Int1_count_OH,Int1_count_HO,Int1_sum_of_count,Int2_avg_HH_dist,Int2_avg_OO_dist,Int2_avg_OH_dist,Int2_avg_HO_dist,Int2_count_HH,Int2_count_OO,Int2_count_OH,Int2_count_HO,Int2_sum_of_count,Int3_avg_HH_dist,Int3_avg_OO_dist,Int3_avg_OH_dist,Int3_avg_HO_dist,Int3_count_HH,Int3_count_OO,Int3_count_OH,Int3_count_HO,Int3_sum_of_count,Int4_avg_HH_dist,Int4_avg_OO_dist,Int4_avg_OH_dist,Int4_avg_HO_dist,Int4_count_HH,Int4_count_OO,Int4_count_OH,Int4_count_HO,Int4_sum_of_count
D:\New folder\project\results\5_layer\lower\r0\t6.0\t6.0_340_grid6.cif,2.358088091427075,2.5452908191522865,2.3908452729965295,2.3666797965583006,13,10,14,16,53,2.2900007678281185,3.013963244131988,2.6177822196056066,2.231603255703523,6,2,4,2,14,2.1290898795161195,2.907478747486732,3.0,1.7430291412489005,8,3,0,7,18,2.3189779082499005,2.93420014975112,2.2875476800572456,2.1895254642143724,4,4,8,5,21
D:\New folder\project\results\5_layer\lower\r0\t7.2\t7.2_260_grid4.cif,2.38927557606282,2.5679727774465113,2.3974508241119827,2.205754849046275,8,10,10,30,58,2.3869147708434464,2.6155498731256968,2.429849927583509,2.345816908087414,7,5,6,13,31,2.2547669860055595,2.9460662569914824,2.1387478290089064,2.270501637952193,8,7,10,12,37,2.23947728865219,2.7218087806327325,2.33430183260135,2.458245700816439,2,3,4,8,17
D:\New folder\project\results\5_layer\lower\r60\t9.6\t9.6_260_grid3.cif,2.0928217886161384,2.9473384325496523,2.028364447683608,2.28845871372912,6,4,2,12,24,2.3985561575917136,2.8265716536045264,2.2221227405074098,2.3364011074233777,6,5,4,13,28,2.3631220726847064,2.914481570211128,2.6121302651284957,2.3704534001181674,7,10,6,20,43,2.0350701299511966,2.5858182145535675,2.0888809766303003,1.9621196512493142,4,4,3,12,23
D:\New folder\project\results\5_layer\lower\r80\t1.2\t1.2_80_grid1.cif,2.376311148266104,2.4178219452222334,2.294478423327698,2.3848250437031004,15,4,11,10,40,2.2594851414876245,2.7463465524089394,2.0198661353098806,2.16108411806257,9,15,18,13,55,2.374144769931729,2.912776404679098,2.2905828799241665,2.387647489167208,7,8,8,13,36,2.032954887211388,2.4020908910264955,2.213135112704256,2.6324194982598574,2,5,8,4,19
D:\New folder\project\results\5_layer\lower\r80\t1.2\t1.2_100_grid5.cif,2.2038313926582402,3.0,2.1133112794563207,2.254419349357541,8,0,4,8,20,2.270028337181522,2.8038865619582984,2.211207413827554,2.305160729892725,14,15,15,18,62,1.7752005120456948,2.900829313237942,2.0298146596260667,2.399336516029069,4,2,2,4,12,2.1348523120947256,2.6954282775523533,1.6967034399685739,2.0676253972712497,4,2,2,4,12
D:\New folder\project\results\5_layer\lower\r80\t1.2\t1.2_280_grid3.cif,2.2846765841946426,3.0,3.0,3.0,8,0,0,0,8,2.176595081604914,2.9133891072182894,2.1152460634073686,2.2471331485713812,10,15,14,22,61,2.2826089331117823,2.900829313237942,2.0939830145604486,2.6155072664437506,2,2,2,4,10,2.1403632490014965,2.6014788664367154,2.4965861002852385,2.444786338063439,2,1,4,6,13
D:\New folder\project\results\5_layer\lower\r80\t1.2\t1.2_320_grid3.cif,2.1293638145412275,2.775985395433608,2.0621126532080623,2.0804821642896454,6,12,12,10,40,2.339752454859893,2.6981134281881554,2.335303364531049,2.3860742327962168,8,14,12,22,56,2.2467864109513735,2.7692366154561934,1.9798899060855484,2.1944693488556646,12,14,13,16,55,2.3935994650504577,2.7288214840814398,1.6844270621290613,2.3576197529498715,4,6,6,10,26
D:\New folder\project\results\5_layer\lower\r80\t1.2\t1.2_340_grid0.cif,2.1814220918227307,2.7577684880422173,2.2964312968337657,2.3992300384377057,6,11,10,11,38,2.291774080812458,2.793671965437883,2.150204638410267,2.3724066046883925,14,14,15,17,60,2.3439102065556043,2.7830923238694893,2.1003433342230413,2.2490981660517835,6,13,12,14,45,2.397004896049631,2.975984664356037,2.148853390302001,3.0,8,6,10,0,24
D:\New folder\project\results\5_layer\lower\r80\t2.4\t2.4_80_grid0.cif,2.1026817918448444,2.8391843588932506,1.9245300629796973,1.9349477430347712,4,9,10,7,30,2.3745702867709513,2.77387548164656,2.1755806291043696,2.4474983144384987,7,4,5,5,21,2.3297802789927804,2.7723597839389105,2.3099778535119855,2.4789426702878594,8,6,5,7,26,2.156483257229442,2.4906202050513637,2.3387638232658707,2.1380655635364465,1,6,4,20,31
D:\New folder\project\results\5_layer\lower\r80\t2.4\t2.4_80_grid3.cif,2.228150899040513,3.0,2.1145782585215764,3.0,6,0,14,0,20,2.430207346832345,2.98360670670209,2.6139383977669306,2.0581875326550816,2,4,3,6,15,2.1122710059510337,2.9910714964055933,2.359070067599481,2.085738523607671,4,3,4,5,16,2.370751387008593,2.6314726564013284,2.3208355988625704,2.3139124542851843,11,9,10,15,45
