file_id,file_path,adjusted_energy,geometric_center_distance,X,Y,Z
r80_t2.4_t2.4_220.cif,d:\New folder\project\data\r80\t2.4\t2.4_220.cif,-0.3068599999999151,6.4083914645885525,0.4595202483196342,-0.9676401196599308,6.318227196264803
r80_t2.4_t2.4_280.cif,d:\New folder\project\data\r80\t2.4\t2.4_280.cif,-0.0430299999999306,5.694964261796998,0.3183885882052907,-1.1808035411196507,5.562099392075348
r80_t2.4_t2.4_60.cif,d:\New folder\project\data\r80\t2.4\t2.4_60.cif,-0.1043700000000171,5.89325816712057,0.935500995232651,-1.2019932610326622,5.69302572562992
r80_t2.4_t2.4_80.cif,d:\New folder\project\data\r80\t2.4\t2.4_80.cif,-0.4362999999999601,5.482989261335752,1.1542598687141674,-0.9268993957754216,5.27936671443747
r80_t3.6_t3.6_100.cif,d:\New folder\project\data\r80\t3.6\t3.6_100.cif,-0.5482999999999265,5.312396503328415,-0.4863701327978007,-0.6749940407736481,5.246845123254381
r80_t3.6_t3.6_120.cif,d:\New folder\project\data\r80\t3.6\t3.6_120.cif,-0.0675599999999576,6.344934209526083,-0.5225168838984389,-1.2652836469316742,6.195500264067683
r80_t3.6_t3.6_180.cif,d:\New folder\project\data\r80\t3.6\t3.6_180.cif,-0.009239999999977,7.371805365802712,-1.097612466735351,-1.4251107854908345,7.148973385964063
r80_t3.6_t3.6_200.cif,d:\New folder\project\data\r80\t3.6\t3.6_200.cif,-0.0806499999999914,7.237510198706667,-1.2971204664960387,-1.0989259033149006,7.035012027765386
r80_t3.6_t3.6_220.cif,d:\New folder\project\data\r80\t3.6\t3.6_220.cif,-0.2708599999999705,6.509538227548379,-1.230367537608951,-0.8065192878934581,6.341120586818044
r80_t3.6_t3.6_240.cif,d:\New folder\project\data\r80\t3.6\t3.6_240.cif,-0.3855800000000045,6.0292687409166765,-1.1155286987098378,-1.1175515121034456,5.81882770756662
r80_t3.6_t3.6_60.cif,d:\New folder\project\data\r80\t3.6\t3.6_60.cif,-0.2660199999999122,5.733079466569256,-0.7012991728680833,-1.3321406585713984,5.531887644006658
r80_t3.6_t3.6_80.cif,d:\New folder\project\data\r80\t3.6\t3.6_80.cif,-0.5731499999999414,5.383524905675838,-0.533030009105542,-1.0010981557357044,5.262701008228337
r80_t4.8_t4.8_100.cif,d:\New folder\project\data\r80\t4.8\t4.8_100.cif,-0.4850799999999253,5.458050419159546,0.3513079970676626,-0.6558286158395517,5.407105130837571
r80_t4.8_t4.8_120.cif,d:\New folder\project\data\r80\t4.8\t4.8_120.cif,-0.0134199999999964,6.333904309737506,0.2427220823716798,-1.128034499219135,6.2279184294764125
r80_t4.8_t4.8_80.cif,d:\New folder\project\data\r80\t4.8\t4.8_80.cif,-0.5464299999999866,5.416262026108518,0.1794455434569042,-0.932073317606284,5.3324415573923565
