Relative_Path,Axis,COM_Before_X,COM_Before_Y,COM_Before_Z,Shift_X,Shift_Y,Shift_Z,COM_After_X,COM_After_Y,COM_After_Z
r0\t8.4\t8.4_120.cif,1,9.164584436795208,5.153908888756015,8.325085603896488,0.0,-5.153908888756015,0.0,9.554711400433613,10.262073660888452,8.325085603896488
r0\t8.4\t8.4_100.cif,1,8.8252909019533,5.03931374583318,8.209261575098408,0.0,-5.03931374583318,0.0,9.155747016454631,9.483124343449578,8.209261575098408
r0\t8.4\t8.4_220.cif,1,8.574889917674803,4.899340765499667,9.112649353446695,0.0,-4.899340765499667,0.0,9.097755925763543,8.766979108671274,9.112649353446695
r0\t8.4\t8.4_140.cif,1,8.861296457830203,5.017656241887033,8.796921923911128,0.0,-5.017656241887033,0.0,9.223519203842699,10.261167811727496,8.796921923911128
r0\t8.4\t8.4_160.cif,1,8.723759388554175,4.952413461487801,9.143969368037245,0.0,-4.952413461487801,0.0,8.895448884809477,10.1554026412959,9.143969368037245
r0\t8.4\t8.4_20.cif,1,9.346331653550806,5.257441105890227,8.99608580632235,0.0,-5.257441105890227,0.0,9.978762141110874,12.11459088735878,8.99608580632235
r0\t8.4\t8.4_180.cif,1,8.7777644577213,4.840936416190473,9.555937205866195,0.0,-4.840936416190473,0.0,9.019763487094872,9.224673174819216,9.555937205866195
r0\t8.4\t8.4_200.cif,1,8.75424150534092,4.81102356459685,9.619266442333386,0.0,-4.81102356459685,0.0,9.191907543689942,9.78602310582537,9.619266442333386
r0\t8.4\t8.4_240.cif,1,8.587578899481088,4.7804458738133295,8.690663049947709,0.0,-4.7804458738133295,0.0,8.975445918717174,7.385962609577791,8.690663049947709
r0\t8.4\t8.4_260.cif,1,8.899678178345619,4.932344656422478,8.604963395935789,0.0,-4.932344656422478,0.0,9.25850419802373,7.783250434376906,8.60496339593579
r0\t8.4\t8.4_280.cif,1,8.97985829923971,4.953161145209506,8.549138167807234,0.0,-4.953161145209506,0.0,9.377251315394949,8.462236172558043,8.549138167807234
r0\t8.4\t8.4_60.cif,1,9.149495156787104,5.042828290238737,8.816222283891925,0.0,-5.042828290238737,0.0,9.52700030937827,9.93727152582605,8.816222283891925
r0\t8.4\t8.4_40.cif,1,9.241866889162923,4.987259415896188,9.217174533654386,0.0,-4.987259415896188,0.0,9.639049322709988,10.184759799449976,9.217174533654386
r0\t8.4\t8.4_300.cif,1,9.036676188377102,5.031123922052077,8.51874818932278,0.0,-5.031123922052077,0.0,9.258952687854142,8.68480586324204,8.51874818932278
r0\t8.4\t8.4_340.cif,1,9.814703198287331,4.849196896881354,8.698905801613721,0.0,-4.849196896881354,0.0,10.253053338297244,9.44124947307936,8.698905801613721
